IP Address,Port,Region,ASN
147.78.0.186,8443,AE,Oneprovidercom  Dubai Infrastructure
147.78.0.186,2053,AE,Oneprovidercom  Dubai Infrastructure
152.32.181.246,44070,AE,UCLOUD INFORMATION TECHNOLOGY HK LIMITED
172.86.77.145,443,AE,RouterHosting LLC
176.97.66.175,443,AE,3nt solutions LLP
188.208.110.30,443,AE,BFB ONE FZLLC
188.208.110.35,2096,AE,BFB ONE FZLLC
20.174.15.226,443,AE,Microsoft Corporation
3.29.240.49,443,AE,Amazon Data Services UAE
31.130.149.210,443,AE,Hurricane Electric LLC
45.86.228.104,443,AE,BlueVPS OU
84.235.245.65,2096,AE,Cloudflare Inc
84.235.245.75,8443,AE,Oracle Svenska AB
84.235.250.237,443,AE,Oracle Svenska AB
90.156.220.194,2053,AE,ITGLOBAL COM DMCC
90.156.221.54,443,AE,ITGLOBAL COM DMCC
95.174.68.155,2083,AE,Melbikomas UAB
193.108.112.248,443,AL,Baxet Group Inc
193.108.112.65,443,AL,Baxet Group Inc
89.125.139.115,443,AL,Baxet Group Inc
91.239.6.40,443,AL,HostAL Shpk
91.239.6.51,8443,AL,HostAL Shpk
93.123.113.47,443,AL,Albanian Hosting SHPK ta AlbHost SHPK
139.45.214.122,443,AM,RETN AM Limited Liability Company
139.45.214.126,443,AM,RETN AM Limited Liability Company
2.56.204.183,443,AM,Proitlab LLC
2.56.204.246,443,AM,Proitlab LLC
2.56.207.67,443,AM,Proitlab LLC
88.218.95.171,8443,AM,BEAFORT LIMITED
88.218.95.171,2053,AM,BEAFORT LIMITED
91.195.254.34,443,AM,Proitlab LLC
91.198.108.211,2053,AM,Proitlab LLC
131.255.6.88,443,AR,jiajia chen
43.174.195.1,443,AR,6 COLLYER QUAY
104.143.0.180,443,AT,Alwyzon a trading name of Hohl IT eU
130.195.222.215,443,AT,M247 LTD Vienna Infrastructure
132.243.203.112,8443,AT,NETAXIS GROUP LTD
132.243.203.120,8443,AT,NETAXIS GROUP LTD
132.243.203.202,8443,AT,NETAXIS GROUP LTD
132.243.203.203,8443,AT,NETAXIS GROUP LTD
132.243.203.204,8443,AT,NETAXIS GROUP LTD
132.243.203.205,8443,AT,NETAXIS GROUP LTD
132.243.203.206,8443,AT,NETAXIS GROUP LTD
132.243.203.207,8443,AT,NETAXIS GROUP LTD
132.243.203.208,8443,AT,NETAXIS GROUP LTD
132.243.203.209,8443,AT,NETAXIS GROUP LTD
132.243.203.210,8443,AT,NETAXIS GROUP LTD
132.243.203.211,8443,AT,NETAXIS GROUP LTD
132.243.203.212,8443,AT,NETAXIS GROUP LTD
132.243.203.213,8443,AT,NETAXIS GROUP LTD
132.243.203.214,8443,AT,NETAXIS GROUP LTD
132.243.203.215,8443,AT,NETAXIS GROUP LTD
132.243.203.216,8443,AT,NETAXIS GROUP LTD
132.243.203.217,8443,AT,NETAXIS GROUP LTD
132.243.203.218,8443,AT,NETAXIS GROUP LTD
132.243.203.219,8443,AT,NETAXIS GROUP LTD
132.243.203.220,8443,AT,NETAXIS GROUP LTD
132.243.203.221,8443,AT,NETAXIS GROUP LTD
132.243.203.222,8443,AT,NETAXIS GROUP LTD
132.243.203.223,8443,AT,NETAXIS GROUP LTD
132.243.203.224,8443,AT,NETAXIS GROUP LTD
132.243.203.225,8443,AT,NETAXIS GROUP LTD
132.243.203.226,8443,AT,NETAXIS GROUP LTD
132.243.203.227,8443,AT,NETAXIS GROUP LTD
132.243.203.228,8443,AT,NETAXIS GROUP LTD
132.243.203.229,8443,AT,NETAXIS GROUP LTD
132.243.203.230,8443,AT,NETAXIS GROUP LTD
132.243.203.231,8443,AT,NETAXIS GROUP LTD
132.243.203.232,8443,AT,NETAXIS GROUP LTD
132.243.203.233,8443,AT,NETAXIS GROUP LTD
132.243.203.234,8443,AT,NETAXIS GROUP LTD
132.243.203.235,8443,AT,NETAXIS GROUP LTD
132.243.203.236,8443,AT,NETAXIS GROUP LTD
132.243.203.237,8443,AT,NETAXIS GROUP LTD
132.243.203.238,8443,AT,NETAXIS GROUP LTD
132.243.203.239,8443,AT,NETAXIS GROUP LTD
132.243.203.240,8443,AT,NETAXIS GROUP LTD
132.243.203.241,8443,AT,NETAXIS GROUP LTD
132.243.203.242,8443,AT,NETAXIS GROUP LTD
132.243.203.243,8443,AT,NETAXIS GROUP LTD
132.243.203.244,8443,AT,NETAXIS GROUP LTD
132.243.203.245,8443,AT,NETAXIS GROUP LTD
132.243.203.246,8443,AT,NETAXIS GROUP LTD
132.243.203.247,8443,AT,NETAXIS GROUP LTD
132.243.203.248,8443,AT,NETAXIS GROUP LTD
132.243.203.249,8443,AT,NETAXIS GROUP LTD
132.243.203.35,8443,AT,NETAXIS GROUP LTD
132.243.203.9,8443,AT,NETAXIS GROUP LTD
141.227.165.228,2053,AT,OVHcloud  Austria
151.236.8.190,443,AT,EDIS IPv6 Infrastructure in Austria
152.53.110.2,443,AT,netcup GmbH
152.53.110.45,443,AT,netcup GmbH
152.53.111.168,443,AT,netcup GmbH
152.53.111.219,443,AT,netcup GmbH
152.53.112.170,2053,AT,netcup GmbH
152.53.19.28,8443,AT,powered by ANX
152.53.2.213,8443,AT,powered by ANX
152.53.3.249,2096,AT,netcup GmbH
152.53.3.38,443,AT,netcup GmbH
152.53.67.190,443,AT,netcup GmbH
152.53.67.83,443,AT,netcup GmbH
185.119.117.146,8443,AT,IPAX VIRTUAL line server
185.175.58.196,443,AT,HostHatch LLC
185.75.241.170,443,AT,Hosteroid  Vienna
193.233.233.188,8443,AT,AEZA GROUP LLC
193.233.233.188,2053,AT,AEZA GROUP LLC
203.98.67.48,8443,AT,Alwyzon a trading name of Hohl IT eU
37.235.56.86,443,AT,EDIS IPv6 Infrastructure in Austria
37.252.189.207,443,AT,IPAX GmbH
46.102.156.144,2053,AT,Alwyzon a trading name of Hohl IT eU
46.102.156.144,8443,AT,Alwyzon a trading name of Hohl IT eU
77.110.110.254,443,AT,AEZA GROUP LLC
87.251.69.20,8443,AT,GLOBAL CONNECTIVITY SOLUTIONS LLP
87.251.69.44,443,AT,GLOBAL CONNECTIVITY SOLUTIONS LLP
89.58.17.201,443,AT,netcup GmbH
89.58.61.12,2053,AT,netcup GmbH
91.244.70.45,8443,AT,Evolus IT Solutions GmbH
92.112.48.142,8443,AT,Alpenhost eU
92.112.48.149,443,AT,Alpenhost eU
93.115.106.139,443,AT,Baxet Group Inc
94.177.8.237,443,AT,Alwyzon a trading name of Hohl IT eU
94.177.8.78,2053,AT,Alwyzon a trading name of Hohl IT eU
103.43.75.82,443,AU,The Constant Company LLC
123.51.23.113,443,AU,Level 6 913 Young Street
125.7.24.251,443,AU,Macquarie Telecom
130.162.193.183,15401,AU,Oracle Public Cloud
139.84.202.177,2096,AU,The Constant Company LLC
